# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Nov 24 15:36:44 2020
#
# User preference: *
#
# CONSTRAINT:  where (st_teffstr not null
# CONSTRAINT:  and st_radstr not null
# CONSTRAINT:  and st_massstr not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
#
pl_name,st_teff,st_rad,st_mass
11 Com b,4742.00,19.00,2.70
11 UMi b,4340.00,24.08,1.80
11 UMi b,4213.00,29.79,2.78
14 And b,4813.00,11.00,2.20
14 Her b,5338.00,0.93,0.90
14 Her b,5280.00,1.00,0.91
16 Cyg B b,5747.00,1.13,1.03
16 Cyg B b,5750.00,1.13,1.08
18 Del b,4979.00,8.50,2.30
1RXS J160929.1-210524 b,3993.00,1.31,0.62
1RXS J160929.1-210524 b,4060.00,1.35,0.85
24 Boo b,4893.00,10.64,0.99
24 Sex b,5098.00,4.90,1.54
24 Sex c,5098.00,4.90,1.54
2MASS J01225093-2439505 b,3309.00,0.37,0.35
2MASS J02192210-3925225 b,3064.00,0.28,0.11
2MASS J12073346-3932539 b,2825.00,0.22,0.19
2MASS J21402931+1625183 A b,2300.00,0.12,0.08
30 Ari B b,6331.00,1.41,1.93
30 Ari B b,6300.00,1.13,1.16
4 UMa b,4415.00,18.11,1.23
42 Dra b,4200.00,22.03,0.98
47 UMa b,5872.00,1.21,1.06
47 UMa c,5872.00,1.21,1.06
47 UMa d,5872.00,1.21,1.06
51 Eri b,7295.00,1.49,1.65
51 Eri b,7295.00,1.49,1.65
51 Peg b,5758.00,1.18,1.03
55 Cnc b,5250.00,0.96,0.90
55 Cnc b,5250.00,0.96,0.90
55 Cnc b,5250.00,0.96,0.90
55 Cnc b,5250.00,0.96,0.90
55 Cnc c,5250.00,0.96,0.90
55 Cnc c,5250.00,0.96,0.90
55 Cnc c,5250.00,0.96,0.90
55 Cnc c,5250.00,0.96,0.90
55 Cnc d,5250.00,0.96,0.90
55 Cnc d,5250.00,0.96,0.90
55 Cnc d,5250.00,0.96,0.90
55 Cnc d,5250.00,0.96,0.90
55 Cnc e,5234.00,0.94,0.91
55 Cnc e,5250.00,0.96,0.90
55 Cnc e,5172.00,0.95,0.87
55 Cnc e,5250.00,0.96,0.90
55 Cnc e,5250.00,0.96,0.90
55 Cnc e,5250.00,0.96,0.90
55 Cnc e,5250.00,0.96,0.90
55 Cnc e,5250.00,0.96,0.90
55 Cnc f,5250.00,0.96,0.90
55 Cnc f,5250.00,0.96,0.90
55 Cnc f,5250.00,0.96,0.90
55 Cnc f,5250.00,0.96,0.90
6 Lyn b,4978.00,5.20,1.70
6 Lyn b,4938.00,5.20,1.44
61 Vir b,5577.00,0.96,0.94
61 Vir c,5577.00,0.96,0.94
61 Vir d,5577.00,0.96,0.94
7 CMa b,4826.00,4.87,1.34
7 CMa b,4792.00,2.30,1.52
7 CMa c,4826.00,4.87,1.34
70 Vir b,5495.00,1.89,1.09
70 Vir b,5439.00,1.94,1.09
70 Vir b,5531.00,1.84,1.14
75 Cet b,4846.00,10.50,2.49
8 UMi b,4847.40,9.90,1.80
8 UMi b,4847.00,10.30,1.44
81 Cet b,4785.00,11.00,2.40
91 Aqr b,4665.00,11.00,1.40
AU Mic b,3700.00,0.75,0.50
BD+03 2562 b,4095.00,32.35,1.14
BD+14 4559 b,5008.00,0.95,0.86
BD+14 4559 b,4864.00,0.86,0.49
BD+15 2375 b,4649.00,8.95,1.08
BD+15 2940 b,4796.00,14.70,1.10
BD+20 2457 b,4259.00,71.02,10.83
BD+20 2457 b,4137.00,49.00,2.80
BD+20 2457 c,4137.00,49.00,2.80
